INSERT ALL 
 INTO PSE1.DownloadsVALUES ('1', '25-06-2018', '617', '155') 
 INTO PSE1.DownloadsVALUES ('1098', '30-06-2018', '216', '540') 
 INTO PSE1.DownloadsVALUES ('1099', '07-05-2019', '575', '91') 
 INTO PSE1.DownloadsVALUES ('1100', '20-04-2018', '725', '289') 
 INTO PSE1.DownloadsVALUES ('1101', '12-06-2019', '592', '211') 
 INTO PSE1.DownloadsVALUES ('1102', '25-07-2018', '347', '101') 
 INTO PSE1.DownloadsVALUES ('1103', '20-11-2018', '460', '580') 
 INTO PSE1.DownloadsVALUES ('1104', '29-04-2018', '382', '493') 
 INTO PSE1.DownloadsVALUES ('1105', '27-08-2018', '687', '391') 
 INTO PSE1.DownloadsVALUES ('1106', '06-12-2019', '99', '146') 
 INTO PSE1.DownloadsVALUES ('1107', '03-01-2019', '237', '373') 
 INTO PSE1.DownloadsVALUES ('1108', '03-09-2019', '247', '53') 
 INTO PSE1.DownloadsVALUES ('1109', '19-06-2019', '741', '5') 
 INTO PSE1.DownloadsVALUES ('1110', '31-01-2019', '942', '90') 
 INTO PSE1.DownloadsVALUES ('1111', '09-04-2019', '82', '256') 
 INTO PSE1.DownloadsVALUES ('1112', '04-11-2018', '585', '153') 
 INTO PSE1.DownloadsVALUES ('1113', '01-05-2018', '638', '14') 
 INTO PSE1.DownloadsVALUES ('1114', '21-03-2019', '121', '416') 
 INTO PSE1.DownloadsVALUES ('1115', '26-01-2019', '920', '387') 
 INTO PSE1.DownloadsVALUES ('1116', '21-10-2018', '414', '530') 
 INTO PSE1.DownloadsVALUES ('1117', '13-07-2019', '97', '567') 
 INTO PSE1.DownloadsVALUES ('1118', '29-10-2019', '653', '541') 
 INTO PSE1.DownloadsVALUES ('1119', '23-02-2018', '885', '344') 
 INTO PSE1.DownloadsVALUES ('1120', '22-11-2019', '183', '176') 
 INTO PSE1.DownloadsVALUES ('1121', '18-04-2018', '823', '82') 
 INTO PSE1.DownloadsVALUES ('1122', '04-07-2018', '482', '560') 
 INTO PSE1.DownloadsVALUES ('1123', '09-05-2018', '383', '232') 
 INTO PSE1.DownloadsVALUES ('1124', '28-10-2018', '142', '531') 
 INTO PSE1.DownloadsVALUES ('1125', '11-01-2019', '331', '306') 
 INTO PSE1.DownloadsVALUES ('1126', '29-12-2018', '119', '187') 
 INTO PSE1.DownloadsVALUES ('1127', '11-03-2019', '186', '122') 
 INTO PSE1.DownloadsVALUES ('1128', '03-06-2019', '699', '441') 
 INTO PSE1.DownloadsVALUES ('1129', '21-04-2019', '50', '397') 
 INTO PSE1.DownloadsVALUES ('1130', '20-03-2019', '598', '3') 
 INTO PSE1.DownloadsVALUES ('1131', '26-08-2018', '384', '477') 
 INTO PSE1.DownloadsVALUES ('1132', '17-08-2018', '905', '533') 
 INTO PSE1.DownloadsVALUES ('1133', '28-06-2018', '353', '532') 
 INTO PSE1.DownloadsVALUES ('1134', '25-03-2018', '603', '345') 
 INTO PSE1.DownloadsVALUES ('1135', '03-07-2019', '194', '437') 
 INTO PSE1.DownloadsVALUES ('1136', '07-09-2018', '856', '115') 
 INTO PSE1.DownloadsVALUES ('1137', '11-11-2019', '761', '319') 
 INTO PSE1.DownloadsVALUES ('1138', '03-12-2018', '950', '374') 
 INTO PSE1.DownloadsVALUES ('1139', '25-09-2019', '276', '143') 
 INTO PSE1.DownloadsVALUES ('1140', '11-02-2018', '954', '490') 
 INTO PSE1.DownloadsVALUES ('1141', '29-01-2019', '121', '247') 
 INTO PSE1.DownloadsVALUES ('1142', '26-10-2019', '473', '432') 
 INTO PSE1.DownloadsVALUES ('1143', '20-07-2018', '343', '306') 
 INTO PSE1.DownloadsVALUES ('1144', '06-04-2018', '756', '435') 
 INTO PSE1.DownloadsVALUES ('1145', '20-03-2019', '99', '368') 
 INTO PSE1.DownloadsVALUES ('1146', '16-07-2019', '107', '570') 
 INTO PSE1.DownloadsVALUES ('1147', '23-02-2019', '75', '17') 
 INTO PSE1.DownloadsVALUES ('1148', '30-05-2018', '42', '546') 
 INTO PSE1.DownloadsVALUES ('1149', '28-04-2018', '781', '300') 
 INTO PSE1.DownloadsVALUES ('1150', '13-11-2019', '864', '584') 
 INTO PSE1.DownloadsVALUES ('1151', '30-05-2019', '103', '243') 
 INTO PSE1.DownloadsVALUES ('1152', '16-02-2019', '217', '281') 
 INTO PSE1.DownloadsVALUES ('1153', '08-11-2018', '699', '56') 
 INTO PSE1.DownloadsVALUES ('1154', '12-02-2019', '836', '186') 
 INTO PSE1.DownloadsVALUES ('1155', '31-07-2019', '153', '584') 
 INTO PSE1.DownloadsVALUES ('1156', '06-10-2018', '575', '318') 
 INTO PSE1.DownloadsVALUES ('1157', '10-09-2018', '864', '272') 
 INTO PSE1.DownloadsVALUES ('1158', '15-04-2019', '881', '111') 
 INTO PSE1.DownloadsVALUES ('1159', '16-04-2019', '644', '9') 
 INTO PSE1.DownloadsVALUES ('1160', '17-02-2019', '357', '254') 
 INTO PSE1.DownloadsVALUES ('1161', '12-07-2018', '621', '26') 
 INTO PSE1.DownloadsVALUES ('1162', '03-04-2019', '921', '426') 
 INTO PSE1.DownloadsVALUES ('1163', '19-05-2018', '591', '449') 
 INTO PSE1.DownloadsVALUES ('1164', '23-02-2019', '173', '559') 
 INTO PSE1.DownloadsVALUES ('1165', '12-06-2018', '4', '234') 
 INTO PSE1.DownloadsVALUES ('1166', '19-08-2018', '742', '578') 
 INTO PSE1.DownloadsVALUES ('1167', '12-11-2019', '835', '447') 
 INTO PSE1.DownloadsVALUES ('1168', '25-11-2019', '557', '572') 
 INTO PSE1.DownloadsVALUES ('1169', '16-05-2019', '141', '550') 
 INTO PSE1.DownloadsVALUES ('1170', '14-01-2018', '324', '405') 
 INTO PSE1.DownloadsVALUES ('1171', '28-06-2018', '810', '334') 
 INTO PSE1.DownloadsVALUES ('1172', '30-03-2018', '471', '115') 
 INTO PSE1.DownloadsVALUES ('1173', '10-04-2019', '66', '383') 
 INTO PSE1.DownloadsVALUES ('1174', '27-01-2018', '640', '413') 
 INTO PSE1.DownloadsVALUES ('1175', '25-04-2019', '397', '532') 
 INTO PSE1.DownloadsVALUES ('1176', '10-12-2019', '162', '504') 
 INTO PSE1.DownloadsVALUES ('1177', '27-07-2019', '931', '595') 
 INTO PSE1.DownloadsVALUES ('1178', '29-12-2019', '286', '485') 
 INTO PSE1.DownloadsVALUES ('1179', '24-04-2019', '846', '108') 
 INTO PSE1.DownloadsVALUES ('1180', '10-10-2019', '498', '459') 
 INTO PSE1.DownloadsVALUES ('1181', '16-07-2019', '447', '584') 
 INTO PSE1.DownloadsVALUES ('1182', '18-07-2018', '153', '165') 
 INTO PSE1.DownloadsVALUES ('1183', '24-07-2019', '317', '530') 
 INTO PSE1.DownloadsVALUES ('1184', '21-06-2018', '2', '73') 
 INTO PSE1.DownloadsVALUES ('1185', '09-04-2019', '735', '320') 
 INTO PSE1.DownloadsVALUES ('1186', '07-03-2018', '667', '80') 
 INTO PSE1.DownloadsVALUES ('1187', '26-06-2018', '68', '119') 
 INTO PSE1.DownloadsVALUES ('1188', '03-03-2019', '928', '620') 
 INTO PSE1.DownloadsVALUES ('1189', '02-02-2019', '239', '362') 
 INTO PSE1.DownloadsVALUES ('1190', '22-04-2019', '98', '7') 
 INTO PSE1.DownloadsVALUES ('1191', '24-09-2018', '868', '403') 
 INTO PSE1.DownloadsVALUES ('1192', '02-02-2019', '363', '561') 
 INTO PSE1.DownloadsVALUES ('1193', '20-12-2018', '136', '294') 
 INTO PSE1.DownloadsVALUES ('1194', '25-06-2018', '827', '502') 
 INTO PSE1.DownloadsVALUES ('1195', '11-09-2019', '731', '330') 
 INTO PSE1.DownloadsVALUES ('1196', '12-04-2018', '936', '608') 
 INTO PSE1.DownloadsVALUES ('1197', '01-02-2018', '945', '207') 
 INTO PSE1.DownloadsVALUES ('1198', '02-06-2018', '148', '605') 
 INTO PSE1.DownloadsVALUES ('1199', '09-12-2018', '689', '245') 
 INTO PSE1.DownloadsVALUES ('1200', '24-06-2018', '806', '451') 
 INTO PSE1.DownloadsVALUES ('1201', '23-06-2019', '137', '280') 
 INTO PSE1.DownloadsVALUES ('1202', '29-05-2018', '115', '143') 
 INTO PSE1.DownloadsVALUES ('1203', '18-03-2018', '765', '352') 
 INTO PSE1.DownloadsVALUES ('1204', '22-08-2018', '18', '533') 
 INTO PSE1.DownloadsVALUES ('1205', '04-04-2019', '362', '485') 
 INTO PSE1.DownloadsVALUES ('1206', '04-07-2018', '472', '293') 
 INTO PSE1.DownloadsVALUES ('1207', '10-11-2019', '449', '185') 
 INTO PSE1.DownloadsVALUES ('1208', '08-12-2019', '243', '289') 
 INTO PSE1.DownloadsVALUES ('1209', '15-02-2018', '17', '634') 
 INTO PSE1.DownloadsVALUES ('1210', '01-08-2019', '392', '326') 
 INTO PSE1.DownloadsVALUES ('1211', '21-04-2019', '724', '104') 
 INTO PSE1.DownloadsVALUES ('1212', '12-02-2018', '658', '564') 
 INTO PSE1.DownloadsVALUES ('1213', '03-11-2019', '350', '280') 
 INTO PSE1.DownloadsVALUES ('1214', '20-07-2019', '497', '68') 
 INTO PSE1.DownloadsVALUES ('1215', '19-11-2018', '956', '530') 
 INTO PSE1.DownloadsVALUES ('1216', '01-01-2019', '657', '502') 
 INTO PSE1.DownloadsVALUES ('1217', '26-01-2018', '652', '233') 
 INTO PSE1.DownloadsVALUES ('1218', '31-03-2019', '406', '10') 
 INTO PSE1.DownloadsVALUES ('1219', '28-01-2018', '527', '285') 
 INTO PSE1.DownloadsVALUES ('1220', '26-02-2019', '168', '513') 
 INTO PSE1.DownloadsVALUES ('1221', '23-05-2019', '707', '564') 
 INTO PSE1.DownloadsVALUES ('1222', '04-01-2018', '256', '273') 
 INTO PSE1.DownloadsVALUES ('1223', '10-02-2018', '318', '432') 
 INTO PSE1.DownloadsVALUES ('1224', '28-02-2019', '855', '14') 
 INTO PSE1.DownloadsVALUES ('1225', '03-04-2019', '661', '364') 
 INTO PSE1.DownloadsVALUES ('1226', '15-05-2019', '84', '157') 
 INTO PSE1.DownloadsVALUES ('1227', '25-11-2019', '737', '616') 
 INTO PSE1.DownloadsVALUES ('1228', '24-08-2018', '274', '623') 
 INTO PSE1.DownloadsVALUES ('1229', '30-09-2018', '462', '367') 
 INTO PSE1.DownloadsVALUES ('1230', '01-09-2019', '286', '97') 
 INTO PSE1.DownloadsVALUES ('1231', '27-12-2019', '635', '70') 
 INTO PSE1.DownloadsVALUES ('1232', '28-03-2018', '762', '608') 
 INTO PSE1.DownloadsVALUES ('1233', '02-11-2018', '824', '125') 
 INTO PSE1.DownloadsVALUES ('1234', '30-03-2018', '792', '567') 
 INTO PSE1.DownloadsVALUES ('1235', '20-10-2019', '878', '543') 
 INTO PSE1.DownloadsVALUES ('1236', '07-02-2019', '622', '539') 
 INTO PSE1.DownloadsVALUES ('1237', '08-05-2019', '956', '418') 
 INTO PSE1.DownloadsVALUES ('1238', '19-08-2019', '740', '95') 
 INTO PSE1.DownloadsVALUES ('1239', '15-05-2018', '505', '103') 
 INTO PSE1.DownloadsVALUES ('1240', '02-01-2018', '14', '132') 
 INTO PSE1.DownloadsVALUES ('1241', '04-07-2019', '839', '482') 
 INTO PSE1.DownloadsVALUES ('1242', '26-06-2018', '675', '585') 
 INTO PSE1.DownloadsVALUES ('1243', '22-06-2018', '940', '535') 
 INTO PSE1.DownloadsVALUES ('1244', '25-07-2018', '548', '152') 
 INTO PSE1.DownloadsVALUES ('1245', '28-09-2019', '586', '22') 
 INTO PSE1.DownloadsVALUES ('1246', '15-11-2019', '33', '464') 
 INTO PSE1.DownloadsVALUES ('1247', '18-10-2019', '500', '150') 
 INTO PSE1.DownloadsVALUES ('1248', '09-04-2018', '200', '349') 
 INTO PSE1.DownloadsVALUES ('1249', '25-11-2019', '330', '440') 
 INTO PSE1.DownloadsVALUES ('1250', '04-05-2018', '493', '138') 
 INTO PSE1.DownloadsVALUES ('1251', '08-02-2018', '964', '67') 
 INTO PSE1.DownloadsVALUES ('1252', '05-06-2019', '200', '445') 
 INTO PSE1.DownloadsVALUES ('1253', '14-10-2018', '938', '515') 
 INTO PSE1.DownloadsVALUES ('1254', '16-07-2018', '289', '486') 
 INTO PSE1.DownloadsVALUES ('1255', '08-05-2018', '20', '284') 
 INTO PSE1.DownloadsVALUES ('1256', '20-06-2019', '561', '582') 
 INTO PSE1.DownloadsVALUES ('1257', '09-08-2018', '275', '14') 
 INTO PSE1.DownloadsVALUES ('1258', '25-08-2019', '76', '320') 
 INTO PSE1.DownloadsVALUES ('1259', '16-02-2019', '314', '518') 
 INTO PSE1.DownloadsVALUES ('1260', '22-07-2019', '77', '579') 
 INTO PSE1.DownloadsVALUES ('1261', '15-08-2018', '591', '132') 
 INTO PSE1.DownloadsVALUES ('1262', '31-07-2018', '298', '360') 
 INTO PSE1.DownloadsVALUES ('1263', '20-12-2018', '891', '325') 
 INTO PSE1.DownloadsVALUES ('1264', '11-01-2019', '422', '225') 
 INTO PSE1.DownloadsVALUES ('1265', '24-05-2018', '575', '347') 
 INTO PSE1.DownloadsVALUES ('1266', '19-05-2018', '580', '626') 
 INTO PSE1.DownloadsVALUES ('1267', '03-02-2018', '289', '53') 
 INTO PSE1.DownloadsVALUES ('1268', '14-09-2019', '337', '167') 
 INTO PSE1.DownloadsVALUES ('1269', '07-05-2018', '385', '9') 
 INTO PSE1.DownloadsVALUES ('1270', '01-11-2019', '934', '356') 
 INTO PSE1.DownloadsVALUES ('1271', '19-07-2018', '477', '585') 
 INTO PSE1.DownloadsVALUES ('1272', '20-07-2019', '655', '18') 
 INTO PSE1.DownloadsVALUES ('1273', '05-12-2018', '209', '502') 
 INTO PSE1.DownloadsVALUES ('1274', '26-06-2018', '752', '466') 
 INTO PSE1.DownloadsVALUES ('1275', '11-08-2019', '148', '554') 
 INTO PSE1.DownloadsVALUES ('1276', '27-09-2018', '258', '559') 
 INTO PSE1.DownloadsVALUES ('1277', '21-08-2018', '645', '560') 
 INTO PSE1.DownloadsVALUES ('1278', '18-09-2019', '786', '137') 
 INTO PSE1.DownloadsVALUES ('1279', '11-04-2018', '958', '596') 
 INTO PSE1.DownloadsVALUES ('1280', '02-09-2019', '609', '509') 
 INTO PSE1.DownloadsVALUES ('1281', '15-05-2018', '451', '87') 
 INTO PSE1.DownloadsVALUES ('1282', '06-08-2018', '261', '337') 
 INTO PSE1.DownloadsVALUES ('1283', '18-07-2019', '863', '30') 
 INTO PSE1.DownloadsVALUES ('1284', '05-02-2019', '898', '489') 
 INTO PSE1.DownloadsVALUES ('1285', '22-07-2018', '621', '144') 
 INTO PSE1.DownloadsVALUES ('1286', '03-01-2019', '619', '227') 
 INTO PSE1.DownloadsVALUES ('1287', '29-12-2019', '249', '271') 
 INTO PSE1.DownloadsVALUES ('1288', '23-12-2019', '148', '4') 
 INTO PSE1.DownloadsVALUES ('1289', '09-05-2018', '746', '542') 
 INTO PSE1.DownloadsVALUES ('1290', '07-07-2019', '347', '186') 
 INTO PSE1.DownloadsVALUES ('1291', '30-08-2018', '509', '93') 
 INTO PSE1.DownloadsVALUES ('1292', '02-03-2019', '83', '482') 
 INTO PSE1.DownloadsVALUES ('1293', '01-10-2018', '673', '467') 
 INTO PSE1.DownloadsVALUES ('1294', '10-08-2019', '708', '229') 
 INTO PSE1.DownloadsVALUES ('1295', '11-04-2018', '280', '16') 
 INTO PSE1.DownloadsVALUES ('1296', '14-11-2018', '585', '159') 
 INTO PSE1.DownloadsVALUES ('1297', '24-11-2019', '463', '616') 
 INTO PSE1.DownloadsVALUES ('1298', '07-06-2018', '782', '87') 
 INTO PSE1.DownloadsVALUES ('1299', '04-09-2018', '164', '458') 
 INTO PSE1.DownloadsVALUES ('1300', '13-11-2018', '217', '126') 
 INTO PSE1.DownloadsVALUES ('1301', '03-08-2019', '82', '406') 
 INTO PSE1.DownloadsVALUES ('1302', '22-07-2018', '439', '67') 
 INTO PSE1.DownloadsVALUES ('1303', '29-11-2019', '617', '444') 
 INTO PSE1.DownloadsVALUES ('1304', '02-10-2018', '829', '20') 
 INTO PSE1.DownloadsVALUES ('1305', '01-02-2018', '695', '211') 
 INTO PSE1.DownloadsVALUES ('1306', '03-04-2019', '479', '432') 
 INTO PSE1.DownloadsVALUES ('1307', '23-12-2019', '811', '313') 
 INTO PSE1.DownloadsVALUES ('1308', '01-09-2019', '42', '526') 
 INTO PSE1.DownloadsVALUES ('1309', '03-01-2018', '375', '484') 
 INTO PSE1.DownloadsVALUES ('1310', '17-01-2018', '485', '407') 
 INTO PSE1.DownloadsVALUES ('1311', '19-07-2018', '937', '88') 
 INTO PSE1.DownloadsVALUES ('1312', '25-11-2018', '572', '147') 
 INTO PSE1.DownloadsVALUES ('1313', '11-09-2018', '450', '365') 
 INTO PSE1.DownloadsVALUES ('1314', '02-04-2018', '531', '501') 
 INTO PSE1.DownloadsVALUES ('1315', '10-04-2018', '17', '345') 
 INTO PSE1.DownloadsVALUES ('1316', '20-09-2019', '397', '129') 
 INTO PSE1.DownloadsVALUES ('1317', '29-12-2018', '440', '32') 
 INTO PSE1.DownloadsVALUES ('1318', '20-12-2019', '590', '128') 
 INTO PSE1.DownloadsVALUES ('1319', '23-06-2018', '343', '247') 
 INTO PSE1.DownloadsVALUES ('1320', '26-11-2019', '380', '255') 
 INTO PSE1.DownloadsVALUES ('1321', '09-02-2018', '337', '539') 
 INTO PSE1.DownloadsVALUES ('1322', '04-06-2018', '381', '333') 
 INTO PSE1.DownloadsVALUES ('1323', '24-02-2018', '782', '359') 
 INTO PSE1.DownloadsVALUES ('1324', '28-12-2018', '822', '77') 
 INTO PSE1.DownloadsVALUES ('1325', '02-08-2018', '855', '583') 
 INTO PSE1.DownloadsVALUES ('1326', '11-05-2019', '436', '59') 
 INTO PSE1.DownloadsVALUES ('1327', '03-08-2018', '88', '545') 
 INTO PSE1.DownloadsVALUES ('1328', '02-03-2019', '638', '156') 
 INTO PSE1.DownloadsVALUES ('1329', '19-04-2018', '840', '242') 
 INTO PSE1.DownloadsVALUES ('1330', '27-11-2019', '639', '516') 
 INTO PSE1.DownloadsVALUES ('1331', '28-01-2018', '743', '216') 
 INTO PSE1.DownloadsVALUES ('1332', '02-01-2018', '111', '100') 
 INTO PSE1.DownloadsVALUES ('1333', '25-02-2018', '927', '207') 
 INTO PSE1.DownloadsVALUES ('1334', '27-02-2018', '727', '603') 
 INTO PSE1.DownloadsVALUES ('1335', '21-01-2018', '275', '117') 
 INTO PSE1.DownloadsVALUES ('1336', '21-06-2019', '406', '487') 
 INTO PSE1.DownloadsVALUES ('1337', '20-07-2019', '862', '414') 
 INTO PSE1.DownloadsVALUES ('1338', '18-08-2019', '425', '6') 
 INTO PSE1.DownloadsVALUES ('1339', '10-08-2019', '289', '304') 
 INTO PSE1.DownloadsVALUES ('1340', '03-06-2018', '481', '578') 
 INTO PSE1.DownloadsVALUES ('1341', '08-11-2019', '269', '40') 
 INTO PSE1.DownloadsVALUES ('1342', '28-01-2019', '824', '485') 
 INTO PSE1.DownloadsVALUES ('1343', '09-09-2019', '693', '365') 
 INTO PSE1.DownloadsVALUES ('1344', '26-01-2019', '660', '274') 
 INTO PSE1.DownloadsVALUES ('1345', '08-04-2019', '806', '15') 
 INTO PSE1.DownloadsVALUES ('1346', '09-06-2018', '207', '627') 
 INTO PSE1.DownloadsVALUES ('1347', '01-08-2019', '591', '444') 
 INTO PSE1.DownloadsVALUES ('1348', '17-03-2019', '359', '415') 
 INTO PSE1.DownloadsVALUES ('1349', '03-12-2019', '224', '257') 
 INTO PSE1.DownloadsVALUES ('1350', '04-05-2019', '381', '322') 
 INTO PSE1.DownloadsVALUES ('1351', '01-02-2018', '848', '257') 
 INTO PSE1.DownloadsVALUES ('1352', '12-03-2018', '279', '401') 
 INTO PSE1.DownloadsVALUES ('1353', '25-05-2019', '37', '95') 
 INTO PSE1.DownloadsVALUES ('1354', '19-05-2018', '806', '48') 
 INTO PSE1.DownloadsVALUES ('1355', '07-12-2019', '113', '612') 
 INTO PSE1.DownloadsVALUES ('1356', '11-08-2019', '748', '420') 
 INTO PSE1.DownloadsVALUES ('1357', '21-09-2019', '83', '358') 
 INTO PSE1.DownloadsVALUES ('1358', '05-12-2018', '374', '389') 
 INTO PSE1.DownloadsVALUES ('1359', '09-01-2019', '780', '257') 
 INTO PSE1.DownloadsVALUES ('1360', '01-04-2019', '629', '197') 
 INTO PSE1.DownloadsVALUES ('1361', '05-10-2018', '430', '161') 
 INTO PSE1.DownloadsVALUES ('1362', '09-01-2018', '383', '509') 
 INTO PSE1.DownloadsVALUES ('1363', '21-04-2018', '73', '230') 
 INTO PSE1.DownloadsVALUES ('1364', '03-06-2019', '297', '234') 
 INTO PSE1.DownloadsVALUES ('1365', '07-10-2018', '602', '316') 
 INTO PSE1.DownloadsVALUES ('1366', '04-03-2019', '841', '93') 
 INTO PSE1.DownloadsVALUES ('1367', '03-02-2018', '178', '128') 
 INTO PSE1.DownloadsVALUES ('1368', '04-06-2018', '322', '335') 
 INTO PSE1.DownloadsVALUES ('1369', '23-01-2019', '830', '482') 
 INTO PSE1.DownloadsVALUES ('1370', '17-10-2019', '243', '353') 
 INTO PSE1.DownloadsVALUES ('1371', '10-05-2019', '811', '239') 
 INTO PSE1.DownloadsVALUES ('1372', '23-05-2018', '515', '77') 
 INTO PSE1.DownloadsVALUES ('1373', '02-01-2018', '830', '579') 
 INTO PSE1.DownloadsVALUES ('1374', '25-04-2018', '793', '593') 
 INTO PSE1.DownloadsVALUES ('1375', '09-11-2019', '738', '464') 
 INTO PSE1.DownloadsVALUES ('1376', '14-08-2018', '872', '550') 
 INTO PSE1.DownloadsVALUES ('1377', '23-09-2019', '380', '239') 
 INTO PSE1.DownloadsVALUES ('1378', '25-10-2019', '155', '141') 
 INTO PSE1.DownloadsVALUES ('1379', '09-08-2019', '245', '196') 
 INTO PSE1.DownloadsVALUES ('1380', '20-02-2018', '438', '270') 
 INTO PSE1.DownloadsVALUES ('1381', '15-01-2018', '289', '405') 
 INTO PSE1.DownloadsVALUES ('1382', '09-09-2018', '875', '383') 
 INTO PSE1.DownloadsVALUES ('1383', '24-06-2019', '656', '402') 
 INTO PSE1.DownloadsVALUES ('1384', '27-06-2019', '513', '178') 
 INTO PSE1.DownloadsVALUES ('1385', '23-07-2019', '683', '606') 
 INTO PSE1.DownloadsVALUES ('1386', '12-03-2019', '606', '538') 
 INTO PSE1.DownloadsVALUES ('1387', '16-03-2018', '649', '83') 
 INTO PSE1.DownloadsVALUES ('1388', '19-09-2018', '7', '593') 
 INTO PSE1.DownloadsVALUES ('1389', '21-06-2019', '544', '525') 
 INTO PSE1.DownloadsVALUES ('1390', '05-03-2018', '190', '352') 
 INTO PSE1.DownloadsVALUES ('1391', '16-10-2019', '256', '233') 
 INTO PSE1.DownloadsVALUES ('1392', '27-09-2019', '940', '254') 
 INTO PSE1.DownloadsVALUES ('1393', '02-10-2019', '92', '58') 
 INTO PSE1.DownloadsVALUES ('1394', '12-05-2019', '46', '203') 
 INTO PSE1.DownloadsVALUES ('1395', '12-10-2019', '684', '26') 
 INTO PSE1.DownloadsVALUES ('1396', '07-12-2019', '395', '464') 
 INTO PSE1.DownloadsVALUES ('1397', '13-03-2018', '566', '338') 
 INTO PSE1.DownloadsVALUES ('1398', '22-09-2018', '884', '611') 
 INTO PSE1.DownloadsVALUES ('1399', '13-10-2018', '739', '91') 
 INTO PSE1.DownloadsVALUES ('1400', '08-07-2018', '503', '509') 
 INTO PSE1.DownloadsVALUES ('1401', '30-05-2019', '854', '71') 
 INTO PSE1.DownloadsVALUES ('1402', '07-01-2019', '345', '288') 
 INTO PSE1.DownloadsVALUES ('1403', '16-11-2018', '716', '377') 
 INTO PSE1.DownloadsVALUES ('1404', '31-10-2018', '328', '210') 
 INTO PSE1.DownloadsVALUES ('1405', '10-04-2019', '45', '99') 
 INTO PSE1.DownloadsVALUES ('1406', '04-01-2018', '887', '116') 
 INTO PSE1.DownloadsVALUES ('1407', '02-07-2018', '459', '72') 
 INTO PSE1.DownloadsVALUES ('1408', '22-06-2018', '802', '257') 
 INTO PSE1.DownloadsVALUES ('1409', '02-01-2018', '259', '482') 
 INTO PSE1.DownloadsVALUES ('1410', '08-11-2018', '664', '502') 
 INTO PSE1.DownloadsVALUES ('1411', '05-03-2019', '481', '89') 
 INTO PSE1.DownloadsVALUES ('1412', '14-10-2018', '748', '241') 
 INTO PSE1.DownloadsVALUES ('1413', '21-02-2018', '802', '606') 
 INTO PSE1.DownloadsVALUES ('1414', '03-10-2019', '700', '199') 
 INTO PSE1.DownloadsVALUES ('1415', '25-04-2018', '633', '309') 
 INTO PSE1.DownloadsVALUES ('1416', '05-03-2019', '919', '604') 
 INTO PSE1.DownloadsVALUES ('1417', '10-11-2018', '147', '177') 
 INTO PSE1.DownloadsVALUES ('1418', '18-07-2019', '118', '296') 
 INTO PSE1.DownloadsVALUES ('1419', '24-02-2018', '250', '550') 
 INTO PSE1.DownloadsVALUES ('1420', '21-09-2019', '402', '46') 
 INTO PSE1.DownloadsVALUES ('1421', '24-12-2019', '115', '276') 
 INTO PSE1.DownloadsVALUES ('1422', '29-01-2018', '349', '48') 
 INTO PSE1.DownloadsVALUES ('1423', '27-04-2019', '253', '563') 
 INTO PSE1.DownloadsVALUES ('1424', '26-06-2018', '403', '199') 
 INTO PSE1.DownloadsVALUES ('1425', '22-03-2018', '613', '86') 
 INTO PSE1.DownloadsVALUES ('1426', '08-06-2019', '552', '628') 
 INTO PSE1.DownloadsVALUES ('1427', '19-12-2018', '428', '578') 
 INTO PSE1.DownloadsVALUES ('1428', '01-04-2018', '695', '244') 
 INTO PSE1.DownloadsVALUES ('1429', '09-02-2019', '823', '340') 
 INTO PSE1.DownloadsVALUES ('1430', '27-10-2019', '219', '75') 
 INTO PSE1.DownloadsVALUES ('1431', '04-10-2018', '290', '185') 
 INTO PSE1.DownloadsVALUES ('1432', '18-06-2019', '940', '432') 
 INTO PSE1.DownloadsVALUES ('1433', '10-12-2019', '456', '166') 
 INTO PSE1.DownloadsVALUES ('1434', '23-08-2018', '200', '336') 
 INTO PSE1.DownloadsVALUES ('1435', '02-10-2018', '481', '141') 
 INTO PSE1.DownloadsVALUES ('1436', '18-01-2019', '353', '614') 
 INTO PSE1.DownloadsVALUES ('1437', '13-09-2019', '700', '6') 
 INTO PSE1.DownloadsVALUES ('1438', '23-11-2018', '350', '531') 
 INTO PSE1.DownloadsVALUES ('1439', '15-09-2019', '833', '149') 
 INTO PSE1.DownloadsVALUES ('1440', '16-10-2018', '952', '520') 
 INTO PSE1.DownloadsVALUES ('1441', '13-04-2018', '756', '320') 
 INTO PSE1.DownloadsVALUES ('1442', '24-04-2019', '352', '19') 
 INTO PSE1.DownloadsVALUES ('1443', '25-11-2018', '32', '534') 
 INTO PSE1.DownloadsVALUES ('1444', '26-08-2019', '493', '593') 
 INTO PSE1.DownloadsVALUES ('1445', '27-06-2019', '534', '498') 
 INTO PSE1.DownloadsVALUES ('1446', '12-04-2018', '546', '181') 
 INTO PSE1.DownloadsVALUES ('1447', '02-08-2018', '473', '526') 
 INTO PSE1.DownloadsVALUES ('1448', '20-07-2019', '620', '286') 
 INTO PSE1.DownloadsVALUES ('1449', '05-08-2019', '834', '71') 
 INTO PSE1.DownloadsVALUES ('1450', '10-11-2019', '448', '48') 
 INTO PSE1.DownloadsVALUES ('1451', '15-12-2019', '740', '324') 
 INTO PSE1.DownloadsVALUES ('1452', '09-02-2019', '278', '252') 
 INTO PSE1.DownloadsVALUES ('1453', '25-07-2019', '399', '633') 
 INTO PSE1.DownloadsVALUES ('1454', '12-10-2019', '907', '349') 
