INSERT ALL 
 INTO PSE1.WarenkorbPosition VALUES ('0', '1', '15', '221') 
 INTO PSE1.WarenkorbPosition VALUES ('9530', '1', '1031', '208') 
 INTO PSE1.WarenkorbPosition VALUES ('9531', '0', '1771', '13') 
 INTO PSE1.WarenkorbPosition VALUES ('9532', '0', '1059', '512') 
 INTO PSE1.WarenkorbPosition VALUES ('9533', '1', '497', '486') 
 INTO PSE1.WarenkorbPosition VALUES ('9534', '0', '1911', '94') 
 INTO PSE1.WarenkorbPosition VALUES ('9535', '1', '673', '359') 
 INTO PSE1.WarenkorbPosition VALUES ('9536', '2', '211', '598') 
 INTO PSE1.WarenkorbPosition VALUES ('9537', '0', '1198', '315') 
 INTO PSE1.WarenkorbPosition VALUES ('9538', '1', '341', '479') 
 INTO PSE1.WarenkorbPosition VALUES ('9539', '1', '647', '572') 
 INTO PSE1.WarenkorbPosition VALUES ('9540', '0', '1003', '73') 
 INTO PSE1.WarenkorbPosition VALUES ('9541', '2', '1836', '182') 
 INTO PSE1.WarenkorbPosition VALUES ('9542', '0', '265', '252') 
 INTO PSE1.WarenkorbPosition VALUES ('9543', '1', '1150', '450') 
 INTO PSE1.WarenkorbPosition VALUES ('9544', '1', '1931', '621') 
 INTO PSE1.WarenkorbPosition VALUES ('9545', '2', '1327', '207') 
 INTO PSE1.WarenkorbPosition VALUES ('9546', '1', '1425', '164') 
 INTO PSE1.WarenkorbPosition VALUES ('9547', '1', '740', '30') 
 INTO PSE1.WarenkorbPosition VALUES ('9548', '2', '809', '538') 
 INTO PSE1.WarenkorbPosition VALUES ('9549', '2', '490', '116') 
 INTO PSE1.WarenkorbPosition VALUES ('9550', '1', '1444', '507') 
 INTO PSE1.WarenkorbPosition VALUES ('9551', '1', '128', '12') 
 INTO PSE1.WarenkorbPosition VALUES ('9552', '0', '1017', '76') 
 INTO PSE1.WarenkorbPosition VALUES ('9553', '0', '272', '441') 
 INTO PSE1.WarenkorbPosition VALUES ('9554', '0', '180', '572') 
 INTO PSE1.WarenkorbPosition VALUES ('9555', '1', '1772', '319') 
 INTO PSE1.WarenkorbPosition VALUES ('9556', '1', '79', '5') 
 INTO PSE1.WarenkorbPosition VALUES ('9557', '2', '1286', '11') 
 INTO PSE1.WarenkorbPosition VALUES ('9558', '2', '227', '371') 
 INTO PSE1.WarenkorbPosition VALUES ('9559', '2', '322', '350') 
 INTO PSE1.WarenkorbPosition VALUES ('9560', '2', '79', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('9561', '1', '9', '329') 
 INTO PSE1.WarenkorbPosition VALUES ('9562', '1', '1856', '286') 
 INTO PSE1.WarenkorbPosition VALUES ('9563', '1', '293', '307') 
 INTO PSE1.WarenkorbPosition VALUES ('9564', '2', '474', '118') 
 INTO PSE1.WarenkorbPosition VALUES ('9565', '2', '1233', '113') 
 INTO PSE1.WarenkorbPosition VALUES ('9566', '2', '189', '3') 
 INTO PSE1.WarenkorbPosition VALUES ('9567', '0', '53', '445') 
 INTO PSE1.WarenkorbPosition VALUES ('9568', '1', '773', '207') 
 INTO PSE1.WarenkorbPosition VALUES ('9569', '0', '1375', '129') 
 INTO PSE1.WarenkorbPosition VALUES ('9570', '2', '205', '298') 
 INTO PSE1.WarenkorbPosition VALUES ('9571', '0', '862', '44') 
 INTO PSE1.WarenkorbPosition VALUES ('9572', '0', '282', '288') 
 INTO PSE1.WarenkorbPosition VALUES ('9573', '1', '1808', '308') 
 INTO PSE1.WarenkorbPosition VALUES ('9574', '0', '1725', '20') 
 INTO PSE1.WarenkorbPosition VALUES ('9575', '1', '1105', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('9576', '2', '402', '371') 
 INTO PSE1.WarenkorbPosition VALUES ('9577', '2', '1855', '358') 
 INTO PSE1.WarenkorbPosition VALUES ('9578', '0', '1979', '75') 
 INTO PSE1.WarenkorbPosition VALUES ('9579', '1', '462', '485') 
 INTO PSE1.WarenkorbPosition VALUES ('9580', '2', '485', '236') 
 INTO PSE1.WarenkorbPosition VALUES ('9581', '1', '1984', '22') 
 INTO PSE1.WarenkorbPosition VALUES ('9582', '1', '801', '296') 
 INTO PSE1.WarenkorbPosition VALUES ('9583', '1', '674', '489') 
 INTO PSE1.WarenkorbPosition VALUES ('9584', '0', '1494', '494') 
 INTO PSE1.WarenkorbPosition VALUES ('9585', '1', '590', '460') 
 INTO PSE1.WarenkorbPosition VALUES ('9586', '2', '401', '484') 
 INTO PSE1.WarenkorbPosition VALUES ('9587', '1', '1613', '575') 
 INTO PSE1.WarenkorbPosition VALUES ('9588', '1', '493', '590') 
 INTO PSE1.WarenkorbPosition VALUES ('9589', '0', '1865', '204') 
 INTO PSE1.WarenkorbPosition VALUES ('9590', '1', '1941', '504') 
 INTO PSE1.WarenkorbPosition VALUES ('9591', '2', '1732', '146') 
 INTO PSE1.WarenkorbPosition VALUES ('9592', '0', '652', '465') 
 INTO PSE1.WarenkorbPosition VALUES ('9593', '0', '36', '539') 
 INTO PSE1.WarenkorbPosition VALUES ('9594', '0', '578', '136') 
 INTO PSE1.WarenkorbPosition VALUES ('9595', '2', '1032', '92') 
 INTO PSE1.WarenkorbPosition VALUES ('9596', '1', '944', '120') 
 INTO PSE1.WarenkorbPosition VALUES ('9597', '2', '1661', '47') 
 INTO PSE1.WarenkorbPosition VALUES ('9598', '0', '395', '200') 
 INTO PSE1.WarenkorbPosition VALUES ('9599', '1', '821', '432') 
 INTO PSE1.WarenkorbPosition VALUES ('9600', '0', '961', '293') 
 INTO PSE1.WarenkorbPosition VALUES ('9601', '2', '1748', '117') 
 INTO PSE1.WarenkorbPosition VALUES ('9602', '2', '1983', '70') 
 INTO PSE1.WarenkorbPosition VALUES ('9603', '1', '1829', '123') 
 INTO PSE1.WarenkorbPosition VALUES ('9604', '0', '11', '212') 
 INTO PSE1.WarenkorbPosition VALUES ('9605', '0', '456', '121') 
 INTO PSE1.WarenkorbPosition VALUES ('9606', '2', '1180', '451') 
 INTO PSE1.WarenkorbPosition VALUES ('9607', '0', '1627', '364') 
 INTO PSE1.WarenkorbPosition VALUES ('9608', '0', '1976', '308') 
 INTO PSE1.WarenkorbPosition VALUES ('9609', '1', '250', '595') 
 INTO PSE1.WarenkorbPosition VALUES ('9610', '0', '1234', '314') 
 INTO PSE1.WarenkorbPosition VALUES ('9611', '1', '767', '479') 
 INTO PSE1.WarenkorbPosition VALUES ('9612', '1', '1134', '289') 
 INTO PSE1.WarenkorbPosition VALUES ('9613', '2', '1637', '177') 
 INTO PSE1.WarenkorbPosition VALUES ('9614', '1', '1767', '352') 
 INTO PSE1.WarenkorbPosition VALUES ('9615', '1', '1866', '336') 
 INTO PSE1.WarenkorbPosition VALUES ('9616', '2', '1421', '605') 
 INTO PSE1.WarenkorbPosition VALUES ('9617', '1', '889', '511') 
 INTO PSE1.WarenkorbPosition VALUES ('9618', '1', '422', '304') 
 INTO PSE1.WarenkorbPosition VALUES ('9619', '0', '1097', '292') 
 INTO PSE1.WarenkorbPosition VALUES ('9620', '1', '1285', '515') 
 INTO PSE1.WarenkorbPosition VALUES ('9621', '2', '1004', '214') 
 INTO PSE1.WarenkorbPosition VALUES ('9622', '0', '163', '98') 
 INTO PSE1.WarenkorbPosition VALUES ('9623', '2', '1922', '16') 
 INTO PSE1.WarenkorbPosition VALUES ('9624', '2', '166', '499') 
 INTO PSE1.WarenkorbPosition VALUES ('9625', '2', '1692', '345') 
 INTO PSE1.WarenkorbPosition VALUES ('9626', '2', '1158', '481') 
 INTO PSE1.WarenkorbPosition VALUES ('9627', '0', '464', '625') 
 INTO PSE1.WarenkorbPosition VALUES ('9628', '0', '342', '260') 
 INTO PSE1.WarenkorbPosition VALUES ('9629', '1', '554', '248') 
 INTO PSE1.WarenkorbPosition VALUES ('9630', '1', '453', '91') 
 INTO PSE1.WarenkorbPosition VALUES ('9631', '1', '341', '623') 
 INTO PSE1.WarenkorbPosition VALUES ('9632', '1', '94', '36') 
 INTO PSE1.WarenkorbPosition VALUES ('9633', '0', '288', '167') 
 INTO PSE1.WarenkorbPosition VALUES ('9634', '0', '1550', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('9635', '2', '809', '268') 
 INTO PSE1.WarenkorbPosition VALUES ('9636', '1', '801', '267') 
 INTO PSE1.WarenkorbPosition VALUES ('9637', '2', '584', '535') 
 INTO PSE1.WarenkorbPosition VALUES ('9638', '1', '1939', '541') 
 INTO PSE1.WarenkorbPosition VALUES ('9639', '2', '1721', '254') 
 INTO PSE1.WarenkorbPosition VALUES ('9640', '2', '706', '536') 
 INTO PSE1.WarenkorbPosition VALUES ('9641', '0', '187', '541') 
 INTO PSE1.WarenkorbPosition VALUES ('9642', '2', '843', '97') 
 INTO PSE1.WarenkorbPosition VALUES ('9643', '2', '1117', '566') 
 INTO PSE1.WarenkorbPosition VALUES ('9644', '0', '1694', '413') 
 INTO PSE1.WarenkorbPosition VALUES ('9645', '0', '1812', '225') 
 INTO PSE1.WarenkorbPosition VALUES ('9646', '2', '527', '614') 
 INTO PSE1.WarenkorbPosition VALUES ('9647', '0', '674', '631') 
 INTO PSE1.WarenkorbPosition VALUES ('9648', '0', '233', '250') 
 INTO PSE1.WarenkorbPosition VALUES ('9649', '0', '690', '254') 
 INTO PSE1.WarenkorbPosition VALUES ('9650', '1', '1721', '97') 
 INTO PSE1.WarenkorbPosition VALUES ('9651', '1', '1667', '126') 
 INTO PSE1.WarenkorbPosition VALUES ('9652', '0', '661', '361') 
 INTO PSE1.WarenkorbPosition VALUES ('9653', '2', '1392', '190') 
 INTO PSE1.WarenkorbPosition VALUES ('9654', '1', '1088', '511') 
 INTO PSE1.WarenkorbPosition VALUES ('9655', '2', '1922', '268') 
 INTO PSE1.WarenkorbPosition VALUES ('9656', '2', '779', '84') 
 INTO PSE1.WarenkorbPosition VALUES ('9657', '2', '1551', '165') 
 INTO PSE1.WarenkorbPosition VALUES ('9658', '2', '851', '243') 
 INTO PSE1.WarenkorbPosition VALUES ('9659', '0', '1601', '581') 
 INTO PSE1.WarenkorbPosition VALUES ('9660', '2', '1524', '421') 
 INTO PSE1.WarenkorbPosition VALUES ('9661', '1', '578', '58') 
 INTO PSE1.WarenkorbPosition VALUES ('9662', '0', '165', '169') 
 INTO PSE1.WarenkorbPosition VALUES ('9663', '2', '1230', '112') 
 INTO PSE1.WarenkorbPosition VALUES ('9664', '0', '569', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('9665', '1', '486', '387') 
 INTO PSE1.WarenkorbPosition VALUES ('9666', '1', '938', '458') 
 INTO PSE1.WarenkorbPosition VALUES ('9667', '2', '199', '516') 
 INTO PSE1.WarenkorbPosition VALUES ('9668', '1', '1805', '235') 
 INTO PSE1.WarenkorbPosition VALUES ('9669', '1', '722', '199') 
 INTO PSE1.WarenkorbPosition VALUES ('9670', '0', '433', '293') 
 INTO PSE1.WarenkorbPosition VALUES ('9671', '0', '1432', '466') 
 INTO PSE1.WarenkorbPosition VALUES ('9672', '2', '1379', '572') 
 INTO PSE1.WarenkorbPosition VALUES ('9673', '0', '706', '12') 
 INTO PSE1.WarenkorbPosition VALUES ('9674', '0', '1923', '347') 
 INTO PSE1.WarenkorbPosition VALUES ('9675', '1', '643', '407') 
 INTO PSE1.WarenkorbPosition VALUES ('9676', '2', '316', '175') 
 INTO PSE1.WarenkorbPosition VALUES ('9677', '2', '691', '576') 
 INTO PSE1.WarenkorbPosition VALUES ('9678', '0', '569', '313') 
 INTO PSE1.WarenkorbPosition VALUES ('9679', '0', '1664', '35') 
 INTO PSE1.WarenkorbPosition VALUES ('9680', '0', '920', '34') 
 INTO PSE1.WarenkorbPosition VALUES ('9681', '1', '1327', '421') 
 INTO PSE1.WarenkorbPosition VALUES ('9682', '2', '1612', '241') 
 INTO PSE1.WarenkorbPosition VALUES ('9683', '1', '396', '521') 
 INTO PSE1.WarenkorbPosition VALUES ('9684', '1', '42', '31') 
 INTO PSE1.WarenkorbPosition VALUES ('9685', '2', '498', '371') 
 INTO PSE1.WarenkorbPosition VALUES ('9686', '1', '829', '80') 
 INTO PSE1.WarenkorbPosition VALUES ('9687', '1', '1216', '561') 
 INTO PSE1.WarenkorbPosition VALUES ('9688', '0', '1757', '359') 
 INTO PSE1.WarenkorbPosition VALUES ('9689', '1', '1114', '276') 
 INTO PSE1.WarenkorbPosition VALUES ('9690', '1', '430', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('9691', '1', '1793', '524') 
 INTO PSE1.WarenkorbPosition VALUES ('9692', '0', '427', '8') 
 INTO PSE1.WarenkorbPosition VALUES ('9693', '2', '112', '472') 
 INTO PSE1.WarenkorbPosition VALUES ('9694', '2', '1766', '167') 
 INTO PSE1.WarenkorbPosition VALUES ('9695', '0', '649', '540') 
 INTO PSE1.WarenkorbPosition VALUES ('9696', '0', '1136', '242') 
 INTO PSE1.WarenkorbPosition VALUES ('9697', '1', '1681', '77') 
 INTO PSE1.WarenkorbPosition VALUES ('9698', '0', '173', '163') 
 INTO PSE1.WarenkorbPosition VALUES ('9699', '1', '526', '66') 
 INTO PSE1.WarenkorbPosition VALUES ('9700', '2', '1127', '189') 
 INTO PSE1.WarenkorbPosition VALUES ('9701', '1', '1423', '556') 
 INTO PSE1.WarenkorbPosition VALUES ('9702', '0', '161', '363') 
 INTO PSE1.WarenkorbPosition VALUES ('9703', '1', '115', '88') 
 INTO PSE1.WarenkorbPosition VALUES ('9704', '1', '259', '12') 
 INTO PSE1.WarenkorbPosition VALUES ('9705', '0', '861', '599') 
 INTO PSE1.WarenkorbPosition VALUES ('9706', '1', '653', '35') 
 INTO PSE1.WarenkorbPosition VALUES ('9707', '0', '1302', '329') 
 INTO PSE1.WarenkorbPosition VALUES ('9708', '2', '651', '76') 
 INTO PSE1.WarenkorbPosition VALUES ('9709', '2', '736', '376') 
 INTO PSE1.WarenkorbPosition VALUES ('9710', '2', '1785', '330') 
 INTO PSE1.WarenkorbPosition VALUES ('9711', '1', '580', '11') 
 INTO PSE1.WarenkorbPosition VALUES ('9712', '0', '826', '61') 
 INTO PSE1.WarenkorbPosition VALUES ('9713', '2', '1794', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('9714', '0', '636', '588') 
 INTO PSE1.WarenkorbPosition VALUES ('9715', '2', '778', '454') 
 INTO PSE1.WarenkorbPosition VALUES ('9716', '1', '732', '272') 
 INTO PSE1.WarenkorbPosition VALUES ('9717', '2', '515', '315') 
 INTO PSE1.WarenkorbPosition VALUES ('9718', '0', '1006', '168') 
 INTO PSE1.WarenkorbPosition VALUES ('9719', '2', '811', '500') 
 INTO PSE1.WarenkorbPosition VALUES ('9720', '0', '1961', '170') 
 INTO PSE1.WarenkorbPosition VALUES ('9721', '0', '989', '238') 
 INTO PSE1.WarenkorbPosition VALUES ('9722', '0', '1697', '136') 
 INTO PSE1.WarenkorbPosition VALUES ('9723', '1', '1531', '172') 
 INTO PSE1.WarenkorbPosition VALUES ('9724', '2', '1206', '365') 
 INTO PSE1.WarenkorbPosition VALUES ('9725', '2', '222', '98') 
 INTO PSE1.WarenkorbPosition VALUES ('9726', '2', '628', '481') 
 INTO PSE1.WarenkorbPosition VALUES ('9727', '2', '540', '264') 
 INTO PSE1.WarenkorbPosition VALUES ('9728', '2', '1616', '165') 
 INTO PSE1.WarenkorbPosition VALUES ('9729', '1', '1154', '483') 
 INTO PSE1.WarenkorbPosition VALUES ('9730', '1', '1685', '246') 
 INTO PSE1.WarenkorbPosition VALUES ('9731', '0', '968', '371') 
 INTO PSE1.WarenkorbPosition VALUES ('9732', '2', '263', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('9733', '0', '1574', '570') 
 INTO PSE1.WarenkorbPosition VALUES ('9734', '2', '150', '334') 
 INTO PSE1.WarenkorbPosition VALUES ('9735', '0', '1820', '515') 
 INTO PSE1.WarenkorbPosition VALUES ('9736', '1', '411', '503') 
 INTO PSE1.WarenkorbPosition VALUES ('9737', '2', '192', '151') 
 INTO PSE1.WarenkorbPosition VALUES ('9738', '0', '1020', '196') 
 INTO PSE1.WarenkorbPosition VALUES ('9739', '1', '593', '455') 
 INTO PSE1.WarenkorbPosition VALUES ('9740', '0', '10', '176') 
 INTO PSE1.WarenkorbPosition VALUES ('9741', '2', '834', '470') 
 INTO PSE1.WarenkorbPosition VALUES ('9742', '1', '1392', '364') 
 INTO PSE1.WarenkorbPosition VALUES ('9743', '2', '1991', '413') 
 INTO PSE1.WarenkorbPosition VALUES ('9744', '1', '1174', '153') 
 INTO PSE1.WarenkorbPosition VALUES ('9745', '1', '1535', '621') 
 INTO PSE1.WarenkorbPosition VALUES ('9746', '0', '678', '235') 
 INTO PSE1.WarenkorbPosition VALUES ('9747', '2', '616', '271') 
 INTO PSE1.WarenkorbPosition VALUES ('9748', '1', '1806', '269') 
 INTO PSE1.WarenkorbPosition VALUES ('9749', '2', '783', '565') 
 INTO PSE1.WarenkorbPosition VALUES ('9750', '0', '533', '60') 
 INTO PSE1.WarenkorbPosition VALUES ('9751', '2', '1591', '127') 
 INTO PSE1.WarenkorbPosition VALUES ('9752', '1', '237', '456') 
 INTO PSE1.WarenkorbPosition VALUES ('9753', '2', '1296', '89') 
 INTO PSE1.WarenkorbPosition VALUES ('9754', '1', '470', '409') 
 INTO PSE1.WarenkorbPosition VALUES ('9755', '2', '183', '279') 
 INTO PSE1.WarenkorbPosition VALUES ('9756', '2', '1361', '302') 
 INTO PSE1.WarenkorbPosition VALUES ('9757', '1', '1732', '201') 
 INTO PSE1.WarenkorbPosition VALUES ('9758', '2', '456', '143') 
 INTO PSE1.WarenkorbPosition VALUES ('9759', '1', '141', '324') 
 INTO PSE1.WarenkorbPosition VALUES ('9760', '0', '971', '169') 
 INTO PSE1.WarenkorbPosition VALUES ('9761', '0', '1566', '634') 
 INTO PSE1.WarenkorbPosition VALUES ('9762', '2', '1702', '88') 
 INTO PSE1.WarenkorbPosition VALUES ('9763', '0', '1696', '501') 
 INTO PSE1.WarenkorbPosition VALUES ('9764', '2', '1082', '189') 
 INTO PSE1.WarenkorbPosition VALUES ('9765', '0', '1574', '331') 
 INTO PSE1.WarenkorbPosition VALUES ('9766', '1', '225', '618') 
 INTO PSE1.WarenkorbPosition VALUES ('9767', '1', '1182', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('9768', '2', '1723', '364') 
 INTO PSE1.WarenkorbPosition VALUES ('9769', '1', '1276', '396') 
 INTO PSE1.WarenkorbPosition VALUES ('9770', '2', '262', '88') 
 INTO PSE1.WarenkorbPosition VALUES ('9771', '0', '355', '571') 
 INTO PSE1.WarenkorbPosition VALUES ('9772', '0', '211', '18') 
 INTO PSE1.WarenkorbPosition VALUES ('9773', '2', '262', '242') 
 INTO PSE1.WarenkorbPosition VALUES ('9774', '2', '981', '312') 
 INTO PSE1.WarenkorbPosition VALUES ('9775', '0', '601', '94') 
 INTO PSE1.WarenkorbPosition VALUES ('9776', '0', '705', '587') 
 INTO PSE1.WarenkorbPosition VALUES ('9777', '1', '1358', '604') 
 INTO PSE1.WarenkorbPosition VALUES ('9778', '1', '1717', '34') 
 INTO PSE1.WarenkorbPosition VALUES ('9779', '1', '110', '157') 
 INTO PSE1.WarenkorbPosition VALUES ('9780', '1', '1506', '180') 
 INTO PSE1.WarenkorbPosition VALUES ('9781', '1', '643', '111') 
 INTO PSE1.WarenkorbPosition VALUES ('9782', '1', '1744', '569') 
 INTO PSE1.WarenkorbPosition VALUES ('9783', '0', '735', '24') 
 INTO PSE1.WarenkorbPosition VALUES ('9784', '2', '370', '64') 
 INTO PSE1.WarenkorbPosition VALUES ('9785', '0', '1441', '396') 
 INTO PSE1.WarenkorbPosition VALUES ('9786', '2', '337', '458') 
 INTO PSE1.WarenkorbPosition VALUES ('9787', '0', '1968', '376') 
 INTO PSE1.WarenkorbPosition VALUES ('9788', '0', '1371', '147') 
 INTO PSE1.WarenkorbPosition VALUES ('9789', '2', '1876', '61') 
 INTO PSE1.WarenkorbPosition VALUES ('9790', '2', '869', '249') 
 INTO PSE1.WarenkorbPosition VALUES ('9791', '0', '1001', '230') 
 INTO PSE1.WarenkorbPosition VALUES ('9792', '2', '404', '457') 
 INTO PSE1.WarenkorbPosition VALUES ('9793', '1', '1502', '586') 
 INTO PSE1.WarenkorbPosition VALUES ('9794', '2', '32', '581') 
 INTO PSE1.WarenkorbPosition VALUES ('9795', '0', '1989', '209') 
 INTO PSE1.WarenkorbPosition VALUES ('9796', '2', '1419', '255') 
 INTO PSE1.WarenkorbPosition VALUES ('9797', '2', '1715', '405') 
 INTO PSE1.WarenkorbPosition VALUES ('9798', '2', '1095', '142') 
 INTO PSE1.WarenkorbPosition VALUES ('9799', '0', '284', '401') 
 INTO PSE1.WarenkorbPosition VALUES ('9800', '1', '1226', '318') 
 INTO PSE1.WarenkorbPosition VALUES ('9801', '1', '1374', '479') 
 INTO PSE1.WarenkorbPosition VALUES ('9802', '0', '1260', '612') 
 INTO PSE1.WarenkorbPosition VALUES ('9803', '1', '1182', '631') 
 INTO PSE1.WarenkorbPosition VALUES ('9804', '0', '59', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('9805', '2', '1578', '337') 
 INTO PSE1.WarenkorbPosition VALUES ('9806', '2', '990', '417') 
 INTO PSE1.WarenkorbPosition VALUES ('9807', '0', '514', '489') 
 INTO PSE1.WarenkorbPosition VALUES ('9808', '1', '1972', '453') 
 INTO PSE1.WarenkorbPosition VALUES ('9809', '2', '1450', '132') 
 INTO PSE1.WarenkorbPosition VALUES ('9810', '1', '1386', '312') 
 INTO PSE1.WarenkorbPosition VALUES ('9811', '0', '612', '108') 
 INTO PSE1.WarenkorbPosition VALUES ('9812', '1', '1360', '88') 
 INTO PSE1.WarenkorbPosition VALUES ('9813', '1', '1168', '151') 
 INTO PSE1.WarenkorbPosition VALUES ('9814', '1', '1705', '605') 
 INTO PSE1.WarenkorbPosition VALUES ('9815', '0', '500', '251') 
 INTO PSE1.WarenkorbPosition VALUES ('9816', '1', '29', '358') 
 INTO PSE1.WarenkorbPosition VALUES ('9817', '2', '771', '477') 
 INTO PSE1.WarenkorbPosition VALUES ('9818', '0', '44', '30') 
 INTO PSE1.WarenkorbPosition VALUES ('9819', '1', '24', '38') 
 INTO PSE1.WarenkorbPosition VALUES ('9820', '1', '111', '632') 
 INTO PSE1.WarenkorbPosition VALUES ('9821', '1', '498', '114') 
 INTO PSE1.WarenkorbPosition VALUES ('9822', '1', '129', '187') 
 INTO PSE1.WarenkorbPosition VALUES ('9823', '1', '305', '386') 
 INTO PSE1.WarenkorbPosition VALUES ('9824', '2', '1636', '110') 
 INTO PSE1.WarenkorbPosition VALUES ('9825', '2', '42', '410') 
 INTO PSE1.WarenkorbPosition VALUES ('9826', '2', '26', '321') 
 INTO PSE1.WarenkorbPosition VALUES ('9827', '1', '1645', '55') 
 INTO PSE1.WarenkorbPosition VALUES ('9828', '2', '1782', '72') 
 INTO PSE1.WarenkorbPosition VALUES ('9829', '1', '63', '561') 
 INTO PSE1.WarenkorbPosition VALUES ('9830', '2', '1196', '567') 
 INTO PSE1.WarenkorbPosition VALUES ('9831', '2', '1649', '132') 
 INTO PSE1.WarenkorbPosition VALUES ('9832', '1', '881', '545') 
 INTO PSE1.WarenkorbPosition VALUES ('9833', '0', '563', '235') 
 INTO PSE1.WarenkorbPosition VALUES ('9834', '0', '1172', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('9835', '2', '740', '440') 
 INTO PSE1.WarenkorbPosition VALUES ('9836', '2', '1566', '209') 
 INTO PSE1.WarenkorbPosition VALUES ('9837', '0', '979', '616') 
 INTO PSE1.WarenkorbPosition VALUES ('9838', '2', '55', '294') 
 INTO PSE1.WarenkorbPosition VALUES ('9839', '0', '294', '106') 
 INTO PSE1.WarenkorbPosition VALUES ('9840', '1', '582', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('9841', '0', '1759', '387') 
 INTO PSE1.WarenkorbPosition VALUES ('9842', '0', '297', '407') 
 INTO PSE1.WarenkorbPosition VALUES ('9843', '1', '138', '386') 
 INTO PSE1.WarenkorbPosition VALUES ('9844', '2', '321', '278') 
 INTO PSE1.WarenkorbPosition VALUES ('9845', '1', '794', '546') 
 INTO PSE1.WarenkorbPosition VALUES ('9846', '1', '1876', '401') 
 INTO PSE1.WarenkorbPosition VALUES ('9847', '1', '659', '344') 
 INTO PSE1.WarenkorbPosition VALUES ('9848', '1', '1165', '189') 
 INTO PSE1.WarenkorbPosition VALUES ('9849', '0', '1059', '453') 
 INTO PSE1.WarenkorbPosition VALUES ('9850', '2', '834', '324') 
 INTO PSE1.WarenkorbPosition VALUES ('9851', '2', '1466', '227') 
 INTO PSE1.WarenkorbPosition VALUES ('9852', '0', '1694', '630') 
 INTO PSE1.WarenkorbPosition VALUES ('9853', '2', '823', '313') 
 INTO PSE1.WarenkorbPosition VALUES ('9854', '1', '1309', '516') 
 INTO PSE1.WarenkorbPosition VALUES ('9855', '2', '928', '564') 
 INTO PSE1.WarenkorbPosition VALUES ('9856', '1', '499', '227') 
 INTO PSE1.WarenkorbPosition VALUES ('9857', '0', '1022', '18') 
 INTO PSE1.WarenkorbPosition VALUES ('9858', '0', '1294', '150') 
 INTO PSE1.WarenkorbPosition VALUES ('9859', '2', '949', '410') 
 INTO PSE1.WarenkorbPosition VALUES ('9860', '1', '1576', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('9861', '2', '566', '95') 
 INTO PSE1.WarenkorbPosition VALUES ('9862', '2', '1974', '186') 
 INTO PSE1.WarenkorbPosition VALUES ('9863', '1', '1772', '207') 
 INTO PSE1.WarenkorbPosition VALUES ('9864', '1', '995', '54') 
 INTO PSE1.WarenkorbPosition VALUES ('9865', '1', '488', '1') 
 INTO PSE1.WarenkorbPosition VALUES ('9866', '2', '1349', '602') 
 INTO PSE1.WarenkorbPosition VALUES ('9867', '1', '1489', '109') 
 INTO PSE1.WarenkorbPosition VALUES ('9868', '1', '36', '506') 
 INTO PSE1.WarenkorbPosition VALUES ('9869', '2', '1530', '268') 
 INTO PSE1.WarenkorbPosition VALUES ('9870', '1', '974', '303') 
 INTO PSE1.WarenkorbPosition VALUES ('9871', '2', '220', '185') 
 INTO PSE1.WarenkorbPosition VALUES ('9872', '1', '1675', '575') 
 INTO PSE1.WarenkorbPosition VALUES ('9873', '1', '233', '585') 
 INTO PSE1.WarenkorbPosition VALUES ('9874', '1', '1713', '108') 
 INTO PSE1.WarenkorbPosition VALUES ('9875', '0', '1136', '616') 
 INTO PSE1.WarenkorbPosition VALUES ('9876', '2', '153', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('9877', '1', '1906', '1') 
 INTO PSE1.WarenkorbPosition VALUES ('9878', '1', '332', '78') 
 INTO PSE1.WarenkorbPosition VALUES ('9879', '0', '1226', '297') 
 INTO PSE1.WarenkorbPosition VALUES ('9880', '0', '1755', '157') 
 INTO PSE1.WarenkorbPosition VALUES ('9881', '1', '266', '25') 
 INTO PSE1.WarenkorbPosition VALUES ('9882', '0', '1549', '225') 
 INTO PSE1.WarenkorbPosition VALUES ('9883', '1', '1376', '239') 
 INTO PSE1.WarenkorbPosition VALUES ('9884', '2', '903', '392') 
 INTO PSE1.WarenkorbPosition VALUES ('9885', '0', '818', '498') 
 INTO PSE1.WarenkorbPosition VALUES ('9886', '0', '1365', '536') 
 INTO PSE1.WarenkorbPosition VALUES ('9887', '0', '1227', '196') 
 INTO PSE1.WarenkorbPosition VALUES ('9888', '0', '1899', '238') 
 INTO PSE1.WarenkorbPosition VALUES ('9889', '1', '1614', '92') 
 INTO PSE1.WarenkorbPosition VALUES ('9890', '0', '1735', '385') 
 INTO PSE1.WarenkorbPosition VALUES ('9891', '0', '1750', '590') 
